"web-scraper-order","name_ja","company_games","company_description","company_descr_country","company_descr_city","url","top_level_domain","tld_country","link_geoip"
,"フォルテ",,,,,"http://www.get-ain.co.jp/forte/","jp","Japan","N/A"
,"日本ファルコム",,,,,"http://www.falcom.com/","com",,"JP"
,"プレイオンライン",,,,,"http://www.playonline.com/","com",,"DE"
,"ルーン",,,,,"http://www.runesoft.co.jp/","jp","Japan","N/A"
,"フロム・ソフトウェア",,,,,"http://www.fromsoftware.co.jp/","jp","Japan","JP"
,"ブルーゲイル",,,,,"http://www.phoenix-c.or.jp/bluegale/","jp","Japan","JP"
,"Software Group",,,,,"http://creator.freespace.jp/Software_group/","jp","Japan","JP"
,"BISHOP",,,,,"http://www.bishop.gr.jp/","jp","Japan","JP"
,"New File Entertaiment",,,,,"http://home9.highway.ne.jp/cob/nfe_net/","jp","Japan","N/A"
,"MASTER LOM",,,,,"http://hc7.seikyou.ne.jp/home/master-lom/","jp","Japan","JP"
,"アトリエかぐや",,,,,"http://www.a-kaguya.com/","com",,"JP"
,"グラスホッパー・マニファクチュア",,,,,"http://www.grasshopper.co.jp/","jp","Japan","JP"
,"有限会社エイトビット",,,,,"http://www.8bit.co.jp","jp","Japan","JP"
,"エーコロン",,,,,"http://www.acolon.com/","com",,"CH"
,"VISUAL RANKING",,,,,"http://www.visualranking.net/cgi-bin/ranking.cgi%3fid%3d22799","net",,"N/A"
,"戯作座",,,,,"http://www.gesakuza.co.jp/","jp","Japan","JP"
,"アトラス",,,,,"http://www.atlus.co.jp/","jp","Japan","JP"
,"ポニーキャニオン",,,,,"http://www.ponycanyon.co.jp/","jp","Japan","US"
,"knight",,,,,"http://www.stjp.com/knight/","com",,"US"
,"マーメイド",,,,,"http://www.sdia.or.jp/~mermaid/","jp","Japan","JP"
,"オラシオン",,,,,"http://www.oracion.co.jp/","jp","Japan","JP"
,"アイレム",,,,,"http://www.irem.co.jp/","jp","Japan","JP"
,"モス",,,,,"http://www.mossjp.co.jp/","jp","Japan","JP"
,"ビクターインタラクティブソフトウェア",,,,,"http://www.vis.co.jp/","jp","Japan","JP"
,"Software Group",,,,,"http://creator.freespace.jp/Software_group/","jp","Japan","JP"
,"日本アートメディア",,,,,"http://www.jam1989.co.jp/","jp","Japan","JP"
,"ラブデリック",,,,,"http://www.lovedelic.co.jp/","jp","Japan","N/A"
,"サーカス",,,,,"http://www.nandemo.gr.jp/~circus/","jp","Japan","JP"
,"エキップメント",,,,,"http://www.equip-ment.co.jp","jp","Japan","JP"
,"ともパラ",,,,,"http://www3.to/tomopara/","to","Tonga","JP"
,"ズー",,,,,"http://www.zoo.co.jp/","jp","Japan","JP"
,"エンジェルスマイル",,,,,"http://www.cd-bros.co.jp/coolcrew/","jp","Japan","N/A"
,"ウィンタース",,,,,"http://homepage2.nifty.com/winters/","com",,"JP"
,"私のおもちゃ箱",,,,,"http://www005.upp.so-net.ne.jp/h-masuda/index.html","jp","Japan","JP"
,"日本メディアプログラミング",,,,,"http://www.jamp-net.co.jp/","jp","Japan","N/A"
,"____学園三国志ファンページ____",,,,,"http://s1.kcn-tv.ne.jp/users/syo/gaku3fan/index.html","jp","Japan","JP"
,"ハイウェイスター",,,,,"http://www.hws.co.jp/","jp","Japan","JP"
,"スエリーの流石",,,,,"http://www.page.sannet.ne.jp/swery/index.html","jp","Japan","JP"
,"うさぎソフト",,,,,"http://www.ssgssg.com/","com",,"N/A"
,"マルチメディア インテリジェンス トランスファー",,,,,"http://www.mitjapan.com/","com",,"JP"
,"ONIONSOFT",,,,,"http://www.onionsoft.net/","net",,"JP"
,"ウォーターマークス",,,,,"http://www.watermarks.com/","com",,"US"
,"メディアカイト",,,,,"http://www.media-kite.co.jp/","jp","Japan","N/A"
,"ケージ",,,,,"http://www.runesoft.co.jp/cage/","jp","Japan","N/A"
,"アールクラブ",,,,,"http://www.art-club.co.jp/","jp","Japan","N/A"
,"ＺｙＸ",,,,,"http://www.zyx-game.co.jp/","jp","Japan","JP"
,"Hot Soup Processorのページ",,,,,"http://www.onionsoft.net/hsp/","net",,"JP"
,"アキ",,,,,"http://www.aki.co.jp/","jp","Japan","JP"
,"熟してない梅の実",,,,,"http://www2.csc.ne.jp/~amfy/","jp","Japan","N/A"
,"ＫＳＳ",,,,,"http://www.kss-inc.co.jp/","jp","Japan","N/A"
,"ティアラ",,,,,"http://www.cyborg.ne.jp/~jast/tiare/","jp","Japan","JP"
,"ソフトウェアパセリ",,,,,"http://www.parsley.gr.jp/","jp","Japan","N/A"
,"ブラックパッケージ",,,,,"http://www.blackpackage.co.jp/","jp","Japan","N/A"
,"コトブキシステム",,,,,"http://www.kemco.jp/","jp","Japan","JP"
,"ANIM",,,,,"http://www.sis.iowave.co.jp/crowd/index.html","jp","Japan","N/A"
,"ディースリー・パブリッシャー",,,,,"http://www.d3p.co.jp/","jp","Japan","JP"
,"鯖",,,,,"http://saba.to/","to","Tonga","N/A"
,"ジャスト",,,,,"http://www.cyborg.ne.jp/~jast/","jp","Japan","JP"
,"エデン",,,,,"http://www.apo.co.jp/eden/","jp","Japan","N/A"
,"Colors",,,,,"http://www.hue.co.jp/colors/","jp","Japan","N/A"
,"ライトウェイト",,,,,"http://www.lightweight.co.jp/","jp","Japan","JP"
,"タイクーン",,,,,"http://www.tycoon.co.jp/","jp","Japan","IE"
,"アイボリー",,,,,"http://www.ivory.co.jp/","jp","Japan","JP"
,"風雅システム",,,,,"http://www.toyama-smenet.or.jp/~fuga/","jp","Japan","JP"
,"ニトロプラス",,,,,"http://www.nitroplus.net/","net",,"JP"
,"ゲームフリーク",,,,,"http://www.gamefreak.co.jp/","jp","Japan","JP"
,"遊演体",,,,,"http://www.you-en-tai.co.jp/","jp","Japan","N/A"
,"やのまん",,,,,"http://www.yanoman.co.jp/","jp","Japan","JP"
,"ワークジャム",,,,,"http://www.workjam.com/","com",,"US"
,"ミスティ",,,,,"http://www.studio-air.com/air/","com",,"JP"
,"オーパス",,,,,"http://www.opus.co.jp/","jp","Japan","JP"
,"プラチナれーべる",,,,,"http://www.softpal.co.jp/platinum/index.html","jp","Japan","JP"
,"エクシング",,,,,"http://www.xing.co.jp/","jp","Japan","JP"
,"アスミックエース・エンタテイメント",,,,,"http://www.asmik-ace.co.jp/","jp","Japan","JP"
,"ミスチフ",,,,,"http://mischief.product.co.jp/","jp","Japan","N/A"
,"ＮＯＲＩ－Ｐａｇｅ",,,,,"http://homepage1.nifty.com/nori-page/","com",,"JP"
,"[ExLove-3D OnlineGame]バーチャル出会いの広場",,,,,"http://www.exlove.co.jp","jp","Japan","N/A"
,"エキップメント",,,,,"http://www.equip-ment.co.jp","jp","Japan","JP"
,"ネトゲドットコム",,,,,"http://www.babu.com/~road-net/","com",,"JP"
,"Ｉ・ＭＡＧＩＣ",,,,,"http://www.imagic.co.jp/","jp","Japan","JP"
,"ルナーソフト",,,,,"http://www.cosmos.co.jp/lunar/","jp","Japan","N/A"
,"ベルダ",,,,,"http://www.bellda.co.jp/","jp","Japan","N/A"
,"DENSI 2!",,,,,"http://www.realdigital.co.jp/densi2/index.html","jp","Japan","N/A"
,"ナツメ",,,,,"http://www.natsume-game.com/","com",,"JP"
,"ファミリーソフト",,,,,"http://www.familysoft.co.jp/","jp","Japan","N/A"
,"受メロサイト",,,,,"http://www.ukemero.com/","com",,"SC"
,"週刊フリーゲームWeb",,,,,"http://www15.plala.or.jp/game_web/","jp","Japan","JP"
,"ガスト",,,,,"http://www.gust.co.jp/","jp","Japan","JP"
,"拓洋興業",,,,,"http://www.takuyo.co.jp/","jp","Japan","JP"
,"工画堂スタジオ",,,,,"http://www.kogado.com/","com",,"JP"
,"トンキンハウス",,,,,"http://www.tokyo-shoseki.co.jp/tonkin/tkindex.htm","jp","Japan","JP"
,"魔人街",,,,,"http://www.mb.ccnw.ne.jp/majingai/","jp","Japan","JP"
,"アーカムプロダクツ",,,,,"http://www.phoenix-c.or.jp/arkham/","jp","Japan","JP"
,"シリウス",,,,,"http://sirius.product.co.jp/","jp","Japan","JP"
,"Let’s HSP!",,,,,"http://www.geocities.co.jp/Playtown-Yoyo/6130/hsp/","jp","Japan","JP"
,"エンターブレイン",,,,,"http://www.gameeb.com/","com",,"SE"
,"にくきゅう",,,,,"http://www.alpha-jp.co.jp/~nikukyuu/","jp","Japan","N/A"
,"GRAVITY",,,,,"http://www.gravity.co.kr/","kr","South Korea","KR"
,"うさぎソフト",,,,,"http://www.ssgssg.com/","com",,"N/A"
,"有限会社ネクスト",,,,,"http://www.game-next.jp/","jp","Japan","JP"
,"天津堂",,,,,"http://www.softpal.co.jp/tenshindo/index.html","jp","Japan","JP"
,"Britannia　観光案内所",,,,,"http://member.nifty.ne.jp/kamurai/","jp","Japan","JP"
,"ドワンゴ",,,,,"http://www.dwango.co.jp/","jp","Japan","JP"
,"有限会社ヌードメーカー",,,,,"http://www.nudemaker.jp","jp","Japan","JP"
,"ダズ",,,,,"http://www.dazz.ne.jp/","jp","Japan","N/A"
,"セフィ♪",,,,,"http://sefi1.hp.infoseek.co.jp/","jp","Japan","JP"
,"ドリームキャストダイレクト",,,,,"http://www.d-direct.ne.jp/","jp","Japan","N/A"
,"アストロール",,,,,"http://www.astroll.co.jp","jp","Japan","N/A"
,"New File Entertaiment",,,,,"http://home9.highway.ne.jp/cob/nfe_net/","jp","Japan","N/A"
,"ねんごろソフト",,,,,"http://www.nengollo.com/","com",,"JP"
,"メディアビジョン",,,,,"http://www.media-vision.co.jp/","jp","Japan","JP"
,"Ｌｉｌｉｍ",,,,,"http://www.saibunkan.co.jp/lilim/","jp","Japan","JP"
,"小学館プロダクション",,,,,"http://www.shopro.co.jp/","jp","Japan","JP"
,"ｊｉｔｔａ's smith",,,,,"http://www.aurora.dti.ne.jp/%257Ejitta/","jp","Japan","JP"
,"スタジオトリップス　フロンティア",,,,,"http://www5a.biglobe.ne.jp/~studiotr/","jp","Japan","JP"
,"Ｐ ｌ ａ ｙ Ｓ ｔ ａ ｔ ｉ ｏ ｎ　 ｍ ｋ ２",,,,,"http://kyoichi.ceo-jp.com/ps2/","com",,"JP"
,"すぺじゃに共和国",,,,,"http://www.sp-janis.com/","com",,"JP"
,"ガイナックス",,,,,"http://www.gainax.co.jp/","jp","Japan","JP"
,"ブレイク",,,,,"http://www.breaks.co.jp/","jp","Japan","JP"
,"アトリエドゥーブル",,,,,"http://www.double.co.jp/","jp","Japan","JP"
,"ゲームリサイクルGAME77",,,,,"http://www.game77.jp/","jp","Japan","US"
,"Ｋｅｙ",,,,,"http://key.visualarts.gr.jp/index.htm","jp","Japan","JP"
,"アーカムプロダクツ",,,,,"http://www.phoenix-c.or.jp/arkham/","jp","Japan","JP"
,"ScooP",,,,,"http://www.usersupport.gr.jp/scoop/","jp","Japan","N/A"
,"ビーファクトリー",,,,,"http://www.hand.co.jp/products/b-factory/","jp","Japan","JP"
,"id Software",,,,,"http://www.idsoftware.com/","com",,"N/A"
,"アーヴォリオ",,,,,"http://13cm.product.co.jp/Aypio/","jp","Japan","N/A"
,"アザーワイズ",,,,,"http://otherwise.product.co.jp/","jp","Japan","N/A"
,"トラヴュランス",,,,,"http://trb.cd-bros.co.jp/","jp","Japan","N/A"
,"ねこねこソフト",,,,,"http://www.din.or.jp/~nekoneko/","jp","Japan","JP"
,"エフピーエス（富士通パソコンシステムズ）",,,,,"http://www.fps.co.jp/","jp","Japan","N/A"
,"Surfersparadise ゲーム館 FinalFantasy11情報局",,,,,"http://game.surpara.com/pol/","com",,"N/A"
,"デジターボ",,,,,"http://www.digiturbo.co.jp/","jp","Japan","JP"
,"ワッフル",,,,,"http://www.wattle.co.jp/","jp","Japan","N/A"
,"ＥＺＯ－ＮＩＣＫ　ＯＦＦＩＣＩＡＬ　ＷＥＢ　ＳＩＴＥ",,,,,"http://www.ezonick.com/","com",,"N/A"
,"ソフトバンク",,,,,"http://www.softbank.co.jp/","jp","Japan","JP"
,"フリップフロップ",,,,,"http://www.flipflop.co.jp/","jp","Japan","JP"
,"イメージクラブ",,,,,"http://www.phoenix-c.or.jp/arkham/i-club/","jp","Japan","JP"
,"アリスブルー",,,,,"http://www.alicesoft.co.jp/boys/","jp","Japan","JP"
,"日本一ソフトウェア",,,,,"http://www.nippon1.co.jp/","jp","Japan","JP"
,"Ｋｉｓｓ",,,,,"http://www.iris.dti.ne.jp/~kisskiss/","jp","Japan","JP"
,"DENSI 2!",,,,,"http://www.realdigital.co.jp/densi2/index.html","jp","Japan","N/A"
,"ともパラ",,,,,"http://www3.to/tomopara/","to","Tonga","JP"
,"バードランド",,,,,"http://www.birdland.co.jp/","jp","Japan","JP"
,"エデン",,,,,"http://www.apo.co.jp/eden/","jp","Japan","N/A"
,"アリスソフト",,,,,"http://www.alicesoft.co.jp/","jp","Japan","JP"
,"MASTER LOM",,,,,"http://hc7.seikyou.ne.jp/home/master-lom/","jp","Japan","JP"
,"[ExLove-3D OnlineGame]バーチャル出会いの広場",,,,,"http://www.exlove.co.jp","jp","Japan","N/A"
,"Javaでゲーム作りますが何か？",,,,,"http://javagame.main.jp/","jp","Japan","N/A"
,"ANIM",,,,,"http://www.sis.iowave.co.jp/crowd/index.html","jp","Japan","N/A"
,"エバプランニングオフィス",,,,,"http://webclub.kcom.ne.jp/ma/eba-p/","jp","Japan","N/A"
,"CROSS",,,,,"http://www.cross-net.co.jp/","jp","Japan","JP"
,"StudioGIW（スタジオギウ）",,,,,"http://www.page.sannet.ne.jp/m-sky/game/","jp","Japan","JP"
,"ピュアサウンド",,,,,"http://www1.ocn.ne.jp/~psound/","jp","Japan","N/A"
,"アルウ゛ィオン",,,,,"http://www.alvion.co.jp/","jp","Japan","JP"
,"アイドス・インタラクティブ",,,,,"http://www.eidos.co.jp/index-hi.html","jp","Japan","N/A"
,"Bonbee!",,,,,"http://bonbee.product.co.jp/","jp","Japan","JP"
,"ストーンヘッズ",,,,,"http://www.stoneheads.co.jp/","jp","Japan","JP"
,"l’omelette with POWDERSNOW",,,,,"http://www.noemi.ne.jp","jp","Japan","N/A"
,"アイシステム東京",,,,,"http://island.qqq.or.jp/hp/aisystem/","jp","Japan","N/A"
,"MAGURO ONLINE",,,,,"http://www2s.biglobe.ne.jp/~maekawa/index.htm","jp","Japan","JP"
,"テイジイエル",,,,,"http://www.tgl.co.jp/","jp","Japan","JP"
,"シーズウェア",,,,,"http://www.csware.co.jp/","jp","Japan","N/A"
,"レトロゲーム専門ショップ「LRねえし！」",,,,,"http://famicom-shop.ddo.jp/~left-right/index.html","jp","Japan","N/A"
,"美蕾",,,,,"http://www.mirai-soft.com/","com",,"JP"
,"アーヴォリオ",,,,,"http://13cm.product.co.jp/Aypio/","jp","Japan","N/A"
,"いろいろあります！「ゲーム屋さん」",,,,,"http://www.netorder.jp/shop/gameyasan/","jp","Japan","US"
,"フォーティーファイブ",,,,,"http://www.xlv.co.jp/","jp","Japan","N/A"
,"猫でもわかるプログラミング",,,,,"http://www.kumei.ne.jp/c_lang/","jp","Japan","JP"
,"ステージ☆なな",,,,,"http://stage-nana.telnet.or.jp/","jp","Japan","N/A"
,"アウトバック",,,,,"http://www.outback.co.jp/","jp","Japan","N/A"
,"ゾーン",,,,,"http://www.zone-pg.co.jp/","jp","Japan","N/A"
,"戯画",,,,,"http://www.web-giga.com/","com",,"JP"
,"EMU",,,,,"http://www.hf-emu.net/","net",,"N/A"
,"GAMERよ集え。(仮)",,,,,"http://ip.tosp.co.jp/i.asp%3fI%3dMAXinfini","jp","Japan","JP"
,"コナミスタイル",,,,,"http://www.konamistyle.com/","com",,"N/A"
,"11-FF いっしょにTALK！",,,,,"http://ff-11.com/","com",,"AU"
,"オフィスジーン",,,,,"http://www.jean.co.jp/","jp","Japan","JP"
,"レイ",,,,,"http://www.ray.co.jp/","jp","Japan","JP"
,"リアルビジョン",,,,,"http://www.realvision.co.jp/","jp","Japan","JP"
,"Xanadu Laboratory",,,,,"http://www3.tky.3web.ne.jp/~mineru1/ast/xanadu/","jp","Japan","JP"
,"イージーモード",,,,,"http://www.hillfield.co.jp/easymode/","jp","Japan","N/A"
,"ぱんだはうす",,,,,"http://www.pandahouse.net/","net",,"US"
,"ぱんだはうす",,,,,"http://www.pandahouse.net/","net",,"US"
,"ユークス",,,,,"http://www.yukes.co.jp/","jp","Japan","JP"
,"灯～ともしび～",,,,,"http://www.tomoshibi.net/","net",,"JP"
,"マイクロネット",,,,,"http://www.micronetclub.co.jp/","jp","Japan","JP"
,"テクモ",,,,,"http://www.tecmo.co.jp/","jp","Japan","JP"
,"アスキー",,,,,"http://www.ascii.co.jp/et/","jp","Japan","JP"
,"イージーオー",,,,,"http://ego.product.co.jp/","jp","Japan","JP"
,"辰巳電子工業（株）",,,,,"http://www02.so-net.ne.jp/~tatsumi/game/index.htm","jp","Japan","N/A"
,"すたじおみりす",,,,,"http://studio-miris.com/","com",,"AU"
,"CROSS",,,,,"http://www.cross-net.co.jp/","jp","Japan","JP"
,"クロスゲートＢＢＳ",,,,,"http://www.ge-myu.net/game/crossgate/bbs/","net",,"N/A"
,"スクウェアエニックス",,,,,"http://www.square-enix.co.jp/","jp","Japan","DE"
,"ペガサスジャパン",,,,,"http://www.pegasus-japan.co.jp/","jp","Japan","JP"
,"クライマックス",,,,,"http://www.climax.co.jp/","jp","Japan","N/A"
,"レトロゲーム専門ショップ「LRねえし！」",,,,,"http://famicom-shop.ddo.jp/~left-right/index.html","jp","Japan","N/A"
,"アルファ",,,,,"http://www.alphaco.net/","net",,"US"
,"Ｂｌｕｃｋｙ",,,,,"http://www.birdland.co.jp/blucky/","jp","Japan","JP"
,"アイル",,,,,"http://www.ail-soft.com/","com",,"JP"
,"PC88,PC98 FAM ＳＡＶＥ ＤＡＴＡ’Ｓ for final",,,,,"http://final2.hp.infoseek.co.jp/","jp","Japan","JP"
,"ビー・ワークス",,,,,"http://b-works.product.co.jp/","jp","Japan","JP"
,"魔人街",,,,,"http://www.mb.ccnw.ne.jp/majingai/","jp","Japan","JP"
,"彩文館",,,,,"http://www.saibunkan.co.jp/","jp","Japan","JP"
,"Lineage2情報交換サイト",,,,,"http://lineage.fem.jp/","jp","Japan","N/A"
,"総合ビジネスアシスト",,,,,"http://www.aba-inc.co.jp/","jp","Japan","N/A"
,"マックスファイブ",,,,,"http://www.hoshigami.net/","net",,"JP"
,"ソフトマックス（日本法人）",,,,,"http://www.softmax.co.jp/","jp","Japan","JP"
,"ゲームソフトパニック",,,,,"http://www.hh.iij4u.or.jp/~kodada/panic.htm","jp","Japan","JP"
,"すきやきのゲームアルゴリズムとゲームプログラミング",,,,,"http://www.c3.club.kyutech.ac.jp/~sukiyaki/","jp","Japan","N/A"
,"携帯アプリ開発のエボルブ",,,,,"http://evolve.ne.jp/app-asp/","jp","Japan","JP"
,"アルテシア",,,,,"http://www.altacia.co.jp/","jp","Japan","N/A"
,"日経映像",,,,,"http://www.nikkeivi.co.jp/","jp","Japan","JP"
,"３分ゲーコンテスト",,,,,"http://saka.ave2.jp/3/","jp","Japan","N/A"
,"minori",,,,,"http://www.minori.ph/","ph","Philippines","JP"
,"エルフ",,,,,"http://www.elf-game.co.jp/","jp","Japan","N/A"
,"し～くえんす",,,,,"http://www.aquarium-soft.com/sequence/","com",,"SE"
,"Vector",,,,,"http://www.vector.co.jp/","jp","Japan","JP"
,"コスモスコンピューター",,,,,"http://www.cosmos.co.jp/","jp","Japan","N/A"
,"ToruのDirectXプログラミング講座",,,,,"http://www.geocities.jp/toru_website/","jp","Japan","JP"
,"大宮ソフト",,,,,"http://www.omiyasoft.com/","com",,"JP"
,"MAGURO ONLINE",,,,,"http://www2s.biglobe.ne.jp/~maekawa/index.htm","jp","Japan","JP"
,"イリュージョン",,,,,"http://www.illusion.co.jp/","jp","Japan","JP"
,"The First Light",,,,,"http://www1.udn.ne.jp/~heroes/","jp","Japan","N/A"
,"オールスフィア",,,,,"http://www.all-sphere.net/","net",,"IT"
,"アースリープロダクション",,,,,"http://earthly.co.jp/","jp","Japan","JP"
,"ゲームスタジオ",,,,,"http://www.gamestudio.co.jp/index.html","jp","Japan","JP"
,"辰巳電子工業",,,,,"http://www02.so-net.ne.jp/~tatsumi/game/","jp","Japan","N/A"
,"UNKNOWN",,,,,"http://www.unknown.co.jp/","jp","Japan","JP"
,"テトラテック",,,,,"http://www.tetratech.co.jp/","jp","Japan","JP"
,"ＴＤＫコア",,,,,"http://www.core.tdk.co.jp/","jp","Japan","N/A"
,"ともパラ",,,,,"http://www3.to/tomopara/","to","Tonga","JP"
,"アーベル",,,,,"http://www.abel-jp.com/","com",,"JP"
,"データムポリスター",,,,,"http://www.datam.co.jp/","jp","Japan","N/A"
,"リトルウィング",,,,,"http://www.littlewing.co.jp/","jp","Japan","JP"
,"RO-INDEX",,,,,"http://ro-index.sohoworks.net/","net",,"N/A"
,"有限会社オービット",,,,,"http://www.orbit-soft.com/index.html","com",,"JP"
,"トーセ",,,,,"http://www.tose.co.jp/","jp","Japan","JP"
,"セレン",,,,,"http://www.selen.ag/","ag","Antigua and Barbuda","N/A"
,"コンパイル",,,,,"http://www.compile.co.jp/","jp","Japan","JP"
,"ゲームショップ ゲームプラン",,,,,"http://www.games-plan.com/","com",,"N/A"
,"フォレスター",,,,,"http://www.forester.co.jp/","jp","Japan","JP"
,"デジタルエンフォース",,,,,"http://www.de-net.com/","com",,"JP"
,"HORI",,,,,"http://www.hori.ne.jp/","jp","Japan","N/A"
